#time	x	y	parity	Id
#time stamps of events with x = y = par = id =-1 have us since epoch as timestamp for synching reasons
#the corresponding DVS timestamp is the one BEFORE the epoch time event
1456322238212587	-1	-1	-1	-1
1456322263756346	-1	-1	-1	-1
25795146	56	71	0	0	
25795449	20	100	0	0	
25795450	20	100	0	0	
25796826	39	87	1	0	
25797384	38	86	1	0	
25797835	11	95	1	0	
25797836	11	95	1	0	
25799132	105	75	0	1	
25799624	105	104	1	1	
25801256	45	95	1	1	
25801606	5	31	1	0	
25804895	50	61	0	0	
25805227	38	35	0	0	
25805590	97	119	0	0	
25807636	96	119	0	0	
25810282	80	62	0	0	
25810295	36	19	0	0	
25810811	37	18	0	0	
25813289	100	53	0	0	
25813435	58	53	0	0	
25813509	77	123	0	0	
25813706	112	1	0	0	
25814862	96	118	0	0	
25816440	38	18	0	0	
25816497	80	122	1	0	
25816643	96	119	1	0	
25817023	79	58	0	0	
25818402	79	123	0	0	
25818970	76	123	0	0	
25820883	44	119	0	1	
25820884	44	119	0	1	
25821273	78	122	1	0	
25821643	13	76	0	1	
25822925	51	123	0	0	
25823307	45	119	0	1	
25823743	38	19	0	0	
25824625	77	122	0	0	
25826382	65	69	0	1	
25827495	70	103	0	1	
25828163	37	19	0	0	
25828280	109	36	0	0	
25830002	70	102	0	1	
25832162	63	56	0	0	
25832293	36	99	1	0	
25833745	12	76	0	1	
25834607	64	7	1	0	
25834939	37	20	0	0	
25835581	50	123	0	0	
25836395	12	65	1	1	
25838362	96	86	1	1	
25839237	19	44	0	0	
1456322264057603	-1	-1	-1	-1
25839832	15	124	0	0	
25842616	70	95	0	1	
25843263	16	53	1	0	
25845051	117	104	1	1	
25846032	84	92	0	1	
25846312	77	123	1	0	
25846943	90	104	0	1	
25847752	33	56	1	1	
25848224	14	124	0	0	
25849361	30	78	1	1	
25849797	39	18	0	0	
25849998	74	88	1	1	
25850060	83	60	0	1	
25851065	45	120	0	1	
25854175	79	123	1	0	
25855538	38	20	0	0	
25855555	78	123	1	0	
25855556	78	123	1	0	
25855699	28	25	0	1	
25855901	15	125	0	0	
25857029	14	78	0	1	
25858942	7	66	1	0	
25860035	96	72	0	1	
25860039	25	52	1	1	
25860298	31	2	1	1	
25861640	39	20	0	0	
25862937	76	122	0	0	
25865014	24	67	0	1	
25865537	84	126	0	1	
25867082	43	0	0	1	
25869176	75	121	0	0	
25870048	45	119	1	1	
25870322	101	40	0	1	
25870704	76	123	1	0	
25871004	76	62	0	1	
25871284	38	18	1	0	
25871286	38	18	1	0	
25871431	77	121	0	0	
25871489	26	73	0	1	
25872092	78	25	1	0	
25872202	16	124	0	0	
25872351	90	77	0	1	
25872840	31	27	0	1	
25873442	93	116	1	0	
25874156	78	3	0	1	
25877322	29	26	0	1	
25877594	107	25	1	0	
25878446	30	26	0	1	
25878458	30	25	0	1	
25879698	60	12	0	0	
25882582	43	101	0	1	
25883873	85	23	0	1	
25884330	68	0	1	0	
25885932	43	1	1	1	
25885990	63	115	0	1	
25888714	51	123	1	0	
25890522	63	39	0	1	
25891610	42	17	0	0	
25893391	109	53	0	0	
25895475	43	5	0	1	
25896939	53	92	0	0	
25897324	20	68	0	1	
25899779	70	106	0	1	
25899793	70	107	0	1	
25900771	97	53	0	0	
25901062	86	124	1	0	
25901200	113	9	0	0	
25902254	53	123	0	0	
25903311	15	124	1	0	
25903313	15	124	1	0	
25905078	20	61	0	1	
25905222	52	123	0	0	
25906460	52	122	0	0	
25906747	39	18	1	0	
25906748	39	18	1	0	
25907688	46	109	1	1	
25907863	14	124	1	0	
25909120	53	124	0	0	
25910139	31	26	0	1	
25910735	21	30	1	0	
25910736	21	30	1	0	
25910783	97	108	0	1	
25911584	12	110	1	0	
25911585	12	110	1	0	
25912550	96	46	0	1	
25914064	96	13	1	1	
25915493	77	120	0	0	
25916568	30	27	0	1	
25916572	30	27	0	1	
25916574	30	27	0	1	
25919022	18	99	0	1	
25921905	43	17	1	0	
25922487	120	35	0	1	
25923379	55	124	0	0	
25924358	77	121	1	0	
25924744	31	62	0	0	
25925269	84	127	0	1	
25925270	63	38	0	1	
25926856	93	42	0	0	
25927456	43	4	0	1	
25928152	60	62	0	0	
25928411	32	27	0	1	
25930038	16	124	1	0	
25930092	56	124	0	0	
25930753	55	126	0	0	
25931629	115	28	0	0	
25931835	16	80	0	0	
25931836	16	80	0	0	
25932157	77	120	1	0	
25932290	17	80	0	0	
1456322264157708	-1	-1	-1	-1
25932291	17	80	0	0	
25932717	98	11	1	1	
25936399	94	13	1	1	
25938317	110	122	0	1	
25938637	95	107	0	1	
25939284	54	124	0	0	
25939486	82	97	0	1	
25940113	85	127	0	1	
25942962	108	56	0	1	
25943317	17	81	0	0	
25943608	47	120	0	1	
25943742	46	120	0	1	
25943755	46	120	0	1	
25943837	110	87	0	1	
25944569	109	122	0	1	
25946337	95	13	1	1	
25946338	95	13	1	1	
25946573	87	126	0	1	
25947283	95	115	1	1	
25948288	25	67	0	1	
25951778	86	126	0	1	
25952273	75	64	0	1	
25952314	52	124	0	0	
25952661	65	28	0	1	
25953334	60	106	0	0	
25953535	25	58	0	0	
25954148	56	125	0	0	
25954349	16	99	0	1	
25954432	60	107	0	0	
25954541	54	106	0	1	
25954670	113	9	1	0	
25954973	65	82	0	1	
25955371	17	99	0	1	
25956710	52	124	1	0	
25957605	108	36	0	0	
25959570	97	51	0	1	
25960233	22	30	1	0	
25961086	94	108	0	1	
25962098	85	7	0	1	
25962828	37	12	0	0	
25962919	67	75	0	1	
25963739	94	108	1	1	
25964646	55	106	0	1	
25964811	61	106	0	0	
25965909	87	50	0	0	
25968289	39	67	0	1	
25968456	39	69	0	1	
25969523	38	68	0	1	
25970293	87	127	0	1	
25970461	61	80	0	0	
25970909	43	0	1	1	
25970910	43	0	1	1	
25971048	113	82	0	0	
25971437	71	107	0	1	
25971493	82	127	0	1	
25973032	17	100	0	1	
25973033	17	100	0	1	
25973056	79	48	0	1	
25973953	92	50	0	1	
25974354	109	36	1	0	
25974413	16	100	0	1	
25975142	83	127	0	1	
25975143	83	127	0	1	
25976527	54	124	1	0	
25976665	109	80	0	1	
25977670	55	64	0	0	
25978278	85	41	0	0	
25978442	13	83	0	0	
25979037	38	23	0	1	
25979082	40	69	0	1	
25979484	13	77	0	1	
25981898	85	127	1	1	
25981975	84	127	1	1	
25986153	95	108	0	1	
25987446	94	109	0	1	
25988111	105	109	1	0	
25988418	61	73	0	0	
25988872	81	127	0	1	
25989083	122	112	0	1	
25989788	30	19	1	0	
25991190	19	114	1	0	
25991304	47	120	1	1	
25991685	38	69	0	1	
25993240	124	104	0	0	
25994156	39	68	0	1	
25995004	54	68	0	1	
25995731	59	106	0	0	
25996586	120	75	0	1	
25996587	120	75	0	1	
25998570	30	108	0	0	
25998696	31	108	0	0	
26000983	36	27	1	1	
26001267	123	112	0	1	
26001283	108	36	1	0	
26002876	120	23	1	0	
26006082	102	79	0	0	
26006418	56	1	0	0	
26008126	52	113	0	0	
26009003	98	27	1	0	
26009534	95	110	0	1	
26011342	95	108	1	1	
26013013	30	109	0	0	
26013203	93	80	0	1	
26013394	76	122	1	0	
26013428	94	110	0	1	
26013491	50	123	1	0	
26013654	72	15	0	0	
26013864	99	80	0	1	
26014846	31	109	0	0	
26015931	59	56	0	0	
26016886	61	106	1	0	
26017343	109	40	0	1	
26017344	109	40	0	1	
26019591	67	121	0	0	
26020447	83	38	0	1	
26021532	42	1	1	1	
26023185	54	1	0	0	
26023221	60	106	1	0	
26024522	24	66	0	1	
26024814	94	111	0	1	
26024866	120	112	0	1	
26024868	120	112	0	1	
26025117	28	27	0	1	
26027183	82	127	1	1	
26027184	82	127	1	1	
26027248	13	77	1	1	
26027664	15	46	0	0	
26028143	37	116	0	0	
26028376	55	1	0	0	
26028534	15	73	0	1	
26031115	100	7	0	0	
26031119	85	109	0	0	
26038142	85	108	0	0	
26038296	84	109	0	0	
26039366	39	70	0	1	
1456322264257973	-1	-1	-1	-1
26039393	41	44	0	1	
26040601	84	108	0	0	
26040650	75	2	0	0	
26041225	50	45	0	1	
26043652	75	3	0	0	
26044639	24	67	1	1	
26046600	84	109	1	0	
26047624	85	110	0	0	
26047625	85	110	0	0	
26051071	38	20	1	0	
26051087	64	30	0	1	
26051780	110	76	0	1	
26055330	94	109	1	1	
26056831	84	110	0	0	
26057388	24	66	1	1	
26059994	55	1	1	0	
26060206	85	108	1	0	
26060581	83	127	1	1	
26063756	109	96	0	0	
26064195	44	50	0	0	
26065056	84	111	0	0	
26065765	75	75	0	0	
26065794	20	101	0	1	
26066268	39	20	0	1	
26067428	37	18	1	0	
26067623	123	66	0	1	
26068564	66	121	0	0	
26068821	39	67	1	1	
26070197	110	79	0	0	
26071366	81	123	1	0	
26071535	51	68	0	0	
26071642	65	120	0	0	
26072070	65	74	0	0	
26076712	35	27	1	1	
26078292	94	110	1	1	
26079831	53	123	1	0	
26081836	67	93	0	1	
26082501	40	91	1	0	
26083655	18	11	0	0	
26085614	26	67	0	1	
26088484	50	22	0	1	
26089909	84	108	1	0	
26090902	5	89	0	0	
26090904	5	89	0	0	
26091289	38	58	0	0	
26091359	26	41	0	1	
26092801	51	22	0	1	
26093373	19	11	0	0	
26095834	51	122	1	1	
26095855	85	49	0	0	
26097245	97	12	1	1	
26097374	95	111	0	1	
26097375	95	111	0	1	
26103605	110	60	0	1	
26104683	94	111	1	1	
26105118	58	98	0	1	
26110972	7	102	0	0	
26111719	113	0	0	0	
26112829	116	10	1	0	
26115087	121	112	0	1	
26117912	95	111	1	1	
26118343	13	76	1	1	
26122170	86	127	0	1	
26127176	15	111	0	0	
26129220	2	53	0	1	
1456322264358221	-1	-1	-1	-1
26132369	50	22	1	1	
26133923	40	11	0	0	
26134772	64	97	0	1	
26135711	85	91	0	0	
26136959	12	73	1	0	
26136973	74	56	0	0	
26138496	15	59	0	0	
26141422	116	120	0	0	
26144195	110	51	0	1	
26145188	117	121	0	0	
26146850	56	120	0	0	
26147031	91	91	0	0	
26149160	52	118	0	1	
26149867	87	127	1	1	
26149892	67	93	1	1	
26151360	125	42	1	1	
26151779	57	121	0	0	
26152346	68	89	0	0	
26152369	56	121	0	0	
26152370	56	121	0	0	
26152693	57	120	0	0	
26154570	86	127	1	1	
26154571	86	127	1	1	
26155655	60	48	0	1	
26158821	70	29	0	1	
26158873	52	119	0	1	
26161000	56	121	1	0	
26161825	53	118	0	1	
26164634	81	56	0	0	
26167895	93	54	0	1	
26168007	57	121	1	0	
26168452	121	25	0	1	
26168453	121	25	0	1	
26171943	65	97	0	1	
26178241	60	5	0	1	
26178468	59	106	1	0	
26180273	56	57	0	0	
26184197	62	56	0	0	
26187089	64	97	1	1	
26187090	64	97	1	1	
26188685	61	4	0	1	
26189053	69	62	0	0	
26189289	99	72	0	0	
26190652	21	12	0	1	
26190657	3	53	0	1	
26191485	54	1	1	0	
26191780	90	104	1	1	
26192845	112	0	0	0	
26192928	20	12	0	1	
26192957	99	12	1	1	
26193936	117	121	1	0	
26194188	101	18	1	1	
26195144	61	5	0	1	
26196135	48	16	0	1	
26198363	20	13	0	1	
26199345	44	106	0	0	
26199543	104	71	0	0	
26203066	85	62	0	0	
26203317	85	110	1	0	
26205411	65	93	0	0	
26208012	50	114	0	0	
26212358	4	127	0	1	
26213292	123	112	1	1	
26217559	71	57	0	0	
26217616	51	114	0	0	
26218137	70	85	0	1	
26220149	61	6	0	1	
26220492	64	121	0	0	
26222391	64	120	0	0	
26222418	74	63	0	1	
26222444	27	11	0	0	
26223549	50	113	0	0	
26223551	50	113	0	0	
26226189	32	5	0	1	
26226795	94	108	1	1	
26227174	69	66	0	1	
26228386	48	40	0	1	
26228876	80	71	0	1	
26229101	65	121	0	0	
26231562	51	113	0	0	
26234522	50	114	1	0	
1456322264458455	-1	-1	-1	-1
26237238	64	121	1	0	
26238165	18	46	0	1	
26241855	71	107	1	1	
26242488	65	97	1	1	
26242891	65	119	0	0	
26242951	56	83	0	0	
26245356	32	84	0	1	
26245357	32	84	0	1	
26248098	37	45	0	1	
26248099	37	45	0	1	
26248430	109	122	1	1	
26249681	49	113	0	0	
26251349	52	60	0	0	
26255738	21	13	0	1	
26259135	2	104	1	1	
26260412	27	63	0	0	
26261518	35	55	1	0	
26262790	16	113	1	1	
26262791	16	113	1	1	
26266084	36	45	0	1	
26266324	51	114	1	0	
26269468	97	119	1	0	
26272038	105	53	0	0	
26272204	19	46	0	1	
26273724	51	80	0	0	
26275055	61	47	0	0	
26276052	20	13	1	1	
26276053	20	13	1	1	
26278594	68	72	0	0	
26280019	110	70	0	1	
26282756	43	37	1	0	
26283976	114	73	0	1	
26286769	28	43	0	0	
26287151	95	73	0	0	
26291760	117	11	1	0	
26292084	35	31	0	0	
26292085	35	31	0	0	
26292194	114	0	0	0	
26292753	120	112	1	1	
26292864	82	70	0	0	
26294214	78	33	0	1	
26294276	111	51	0	1	
26298230	44	109	1	1	
26298372	65	37	0	1	
26298374	115	0	0	0	
26299040	12	76	1	1	
26302143	115	2	0	0	
26304588	18	46	1	1	
26304589	18	46	1	1	
26307671	21	50	0	0	
26307858	113	0	1	0	
26311941	114	1	0	0	
26312714	52	123	1	0	
26315807	61	9	0	0	
26316816	43	7	0	0	
26317002	40	68	0	1	
26317038	50	113	1	0	
26317081	96	95	1	1	
26317690	55	126	1	0	
26317750	84	110	1	0	
26317996	42	17	1	0	
26320004	100	7	1	0	
26332127	65	119	1	0	
26332834	42	6	0	0	
26332993	115	1	0	0	
26334642	25	67	1	1	
26334741	20	12	1	1	
26337314	19	11	1	0	
26338202	114	0	1	0	
1456322264558928	-1	-1	-1	-1
26340230	63	32	0	1	
26340652	114	1	1	0	
26340715	40	25	0	1	
26340721	43	6	0	0	
26345102	103	52	0	1	
26345146	114	76	0	0	
26346684	59	95	0	1	
26346951	102	78	0	1	
26351254	26	89	1	0	
26351892	11	81	0	1	
26360061	58	95	0	1	
26362483	23	2	0	1	
26362484	23	2	0	1	
26362566	96	48	0	0	
26362971	115	0	1	0	
26365212	11	46	1	0	
26367447	102	50	0	1	
26368437	11	69	0	1	
26371882	64	108	0	1	
26376198	30	108	1	0	
26376260	59	86	0	0	
26376831	56	29	0	0	
26377255	28	90	1	0	
26377256	28	90	1	0	
26378861	11	68	0	1	
26384099	54	103	0	1	
26392691	92	65	0	1	
26394111	110	50	0	1	
26394112	110	50	0	1	
26394409	51	113	1	0	
26397381	12	68	0	1	
