#time	x	y	parity	Id
#time stamps of events with x = y = par = id =-1 have us since epoch as timestamp for synching reasons
#the corresponding DVS timestamp is the one BEFORE the epoch time event
1456322310051626	-1	-1	-1	-1
1456322327940428	-1	-1	-1	-1
18250399	68	102	1	0	
18250686	64	111	0	0	
18250799	98	111	0	1	
18250800	98	111	0	1	
18251516	68	88	1	1	
18251735	117	32	0	1	
18253338	55	42	0	0	
18253353	54	34	0	1	
18253569	95	111	0	0	
18253644	109	101	1	0	
18253745	92	102	1	0	
18254333	103	102	1	0	
18254564	118	101	1	0	
18254652	117	17	1	0	
18255116	108	45	0	0	
18255151	109	44	0	0	
18255509	121	88	1	1	
18256412	49	88	1	1	
18256593	64	110	0	0	
18256627	81	88	1	1	
18256786	65	111	0	0	
18257810	123	33	0	1	
18257812	123	33	0	1	
18257895	117	31	0	1	
18258035	102	44	0	0	
18258152	90	88	1	1	
18258716	61	29	0	1	
18259015	106	31	0	1	
18259208	98	88	1	1	
18259405	119	33	0	1	
18259453	71	35	0	0	
18259524	119	32	0	1	
18260374	55	29	0	1	
18260384	107	45	0	0	
18260525	127	52	0	1	
18260527	127	52	0	1	
18260560	110	87	0	1	
18260793	20	82	0	0	
18261004	62	29	0	1	
18261076	114	45	0	0	
18261780	93	44	0	0	
18261903	75	102	1	0	
18262051	105	44	0	0	
18262052	105	44	0	0	
18262659	115	89	1	1	
18262700	105	102	1	0	
18262701	105	102	1	0	
18262771	87	102	1	0	
18262774	76	15	0	0	
18262790	93	45	0	0	
18262973	29	116	0	1	
18263274	102	45	0	0	
18263370	50	87	1	1	
18263383	82	44	0	0	
18263946	89	88	1	1	
18264014	55	88	1	1	
18264049	118	45	0	0	
18264611	93	43	0	0	
18264912	103	44	0	0	
18264919	103	44	0	0	
18264925	102	56	0	0	
18264935	47	88	1	1	
18264982	69	88	1	1	
18265016	58	29	0	1	
18265291	71	102	1	0	
18265333	42	94	0	0	
18265588	120	33	0	1	
18265889	117	88	1	1	
18265970	102	115	0	0	
18266108	1	126	0	1	
18266237	61	42	0	1	
18266557	120	102	1	0	
18266576	112	101	1	0	
18266757	72	43	0	0	
18266966	114	88	1	1	
18267026	106	45	0	0	
18267249	116	14	0	1	
18267565	15	93	1	1	
18267566	15	93	1	1	
18267674	124	45	0	0	
18267677	48	29	0	1	
18267714	103	89	1	1	
18267864	120	88	1	1	
18268153	53	42	0	0	
18268750	51	89	1	1	
18268898	101	102	1	0	
18269050	82	43	0	0	
18269121	106	44	0	0	
18269225	105	31	0	1	
18269282	113	54	0	0	
18269404	21	30	0	0	
18269898	64	43	0	0	
18270438	122	33	0	1	
18270440	122	33	0	1	
18270597	104	44	0	0	
18270622	101	89	1	1	
18270631	119	45	0	0	
18270633	119	45	0	0	
18271158	101	44	0	0	
18271171	30	95	0	0	
18271198	99	89	1	1	
18271224	119	102	1	0	
18271293	64	89	0	0	
18271326	107	44	0	0	
18271372	98	111	1	1	
18271393	105	88	1	1	
18271775	68	89	0	0	
18271890	60	88	1	1	
18271989	85	43	0	0	
18272010	52	42	0	0	
18272205	111	99	0	0	
18272616	65	111	1	0	
18272913	65	88	1	1	
18272993	95	92	0	0	
18273019	95	57	0	0	
18273034	65	101	1	0	
18273216	93	89	1	1	
18273236	28	34	0	0	
18273356	31	94	0	0	
18273667	96	88	1	1	
18273928	93	53	0	0	
18274180	96	102	1	0	
18274260	115	32	0	1	
18274329	113	46	0	0	
18274385	69	29	0	1	
18274394	120	45	0	0	
18274527	104	102	1	0	
18274659	70	88	1	1	
18274918	87	88	1	1	
18275029	13	7	0	0	
18275159	108	31	0	1	
18275248	81	102	1	0	
18275383	104	71	0	0	
18275475	121	45	0	0	
18275637	104	36	0	0	
18275641	107	102	1	0	
18275740	107	101	1	0	
18275956	76	16	0	0	
18276168	12	7	0	0	
18276366	77	44	0	0	
18276548	97	43	0	0	
18276549	97	43	0	0	
18276692	94	78	0	0	
18276774	109	75	0	0	
18276926	96	43	0	0	
18277045	115	45	0	0	
18277225	51	29	0	1	
18277368	41	28	1	0	
18277643	117	44	0	0	
18277712	98	102	1	0	
18277985	100	88	1	1	
18277989	70	29	0	1	
18278007	109	76	0	1	
18278231	102	102	1	0	
18278244	47	29	0	1	
18278246	80	102	1	0	
18278257	83	43	0	0	
18278470	84	43	0	0	
18278585	65	29	0	1	
18278994	79	67	0	1	
18279066	29	21	0	1	
18279132	114	32	0	1	
18279344	82	29	0	1	
18279485	122	88	1	1	
18279567	109	102	1	0	
18279843	49	42	0	0	
18279994	91	30	0	1	
18280040	42	71	0	0	
18280107	71	29	0	1	
18280260	93	30	0	1	
18280434	79	43	0	0	
18280545	75	91	0	0	
18280601	104	80	0	0	
18280636	102	31	0	1	
18280809	83	30	0	1	
18280810	87	30	0	1	
18280855	85	60	0	0	
18280911	72	29	0	1	
18280914	66	101	1	0	
18281159	54	42	0	0	
18281160	54	42	0	0	
18281399	59	3	0	0	
18281515	83	29	0	1	
18281756	83	114	1	1	
18281866	73	88	1	1	
18281928	116	32	0	1	
18281930	116	32	0	1	
18282188	86	102	1	0	
18282347	85	30	0	1	
18282806	63	102	1	0	
18282832	123	45	0	0	
18282834	123	45	0	0	
18282966	28	35	0	0	
18283003	87	47	0	1	
